id,title,note,excerpt,url,tags,created,cover,highlights,favorite
1674007445,Get ready for the plunge,,KICKSTARTER FOR LABOR/ZERO: https://www.kickstarter.com/projects/daveshap/labor-zeroUNIVERSAL HIGH INCOME: https://github.com/daveshap/UniversalHighIncome,https://www.youtube.com/watch?v=qNj1ldhKCXE&t=19s,,2026-04-06T04:26:09.929Z,https://i.ytimg.com/vi/qNj1ldhKCXE/maxresdefault.jpg,,false
1673949180,The Dream: Riemann Hypothesis and F1 (RH Saga S1E1),,"*This is the first episode of the RH Saga* Support PeakMath on Ko-fi! https://ko-fi.com/peakmathWe embark on a journey into the world of L-functions, by intr...",https://www.youtube.com/watch?v=YTCE2SXguwU&list=PL300nJOfVNKZH3H-2J_g1bZRYOx-dQUp3,,2026-04-06T03:41:47.071Z,https://i.ytimg.com/vi/YTCE2SXguwU/maxresdefault.jpg,,false
1673947198,(224) Apple's Next Product Just Got Leaked - And It's Genius - YouTube,,Apple just filed a new smart ring patent — and buried inside it is a detail that almost nobody is talking about.Most coverage of the Apple Ring focuses on th...,https://www.youtube.com/watch?v=fBVZJAgY7OY&t=45s,,2026-04-06T03:41:10.254Z,https://i.ytimg.com/vi/fBVZJAgY7OY/maxresdefault.jpg,,false
1673522008,Obsidian + Karpathy Just 10x’d Claude Code Projects,,Full courses + unlimited support: https://www.skool.com/ai-automation-society-plus/about?el=karpathy-obsidianAll my FREE resources: https://www.skool.com/ai-...,https://www.youtube.com/watch?v=sboNwYmH3AY,,2026-04-05T20:10:17.271Z,https://i.ytimg.com/vi/sboNwYmH3AY/maxresdefault.jpg,,false
1672712991,Inside the 2026 Home of the Year | Eastbourne House,,"Eastbourne House by Stevens Lawson Architects is New Zealand's 2026 Home of the Year.

Perched on a dramatic site above Wellington Harbour, this sculptural cliffside home is a masterclass in architecture, materiality, and craftsmanship. Designed to respond to one of New Zealand’s most challenging coastal environments, the house balances grandeur with an intimate sense of human scale.

In this cinematic house tour, we step inside Eastbourne House to explore the ideas behind the design — from its relationship to landscape and light, to the carefully considered material palette that anchors it to its rugged setting.

Explore the full feature on homemagazine.nz: https://homemagazine.nz/home-of-the-year-2026-eastbourne-house-stevens-lawson-architects

Project Details:

Architecture: Stevens Lawson Architects
Build: Planit Construction
Engineer: Sullivan Hall
Location: Eastbourne, Wellington, New Zealand
Award: Home of the Year 2026
Roofing: Metalcraft
Flooring: Forte
Tapware: Plumbline
Furniture: Studio Italia, Matisse, IMO, Jardin, Dawson & Co.

Home of the Year is brought to you in partnership with Studio Italia, PeterFell, Dulux, CSR, and Feltex.",https://www.youtube.com/watch?v=oNBQ8Y3lz0s,,2026-04-05T02:21:37.770Z,https://i.ytimg.com/vi/oNBQ8Y3lz0s/maxresdefault.jpg,,false
1671441643,"The 2,300 Year Old Mistake About Mathematics",,Sponsors:- Accelerate your efficiency. Sign up for your one-dollar-per-month trial today at http://shopify.com/theories.- Go to https://shortform.com/toe for...,https://www.youtube.com/watch?v=GHGi_XDqKNw&t=196s,,2026-04-04T04:27:33.901Z,https://i.ytimg.com/vi/GHGi_XDqKNw/maxresdefault.jpg,,false
1669837788,Introducing GEN-1,,"We've created GEN-1, our latest milestone in scaling robot learning. We believe it to be the first general-purpose AI model that crosses a new performance th...",https://www.youtube.com/watch?v=SY2xyrmV44Y,,2026-04-03T01:21:12.778Z,https://i.ytimg.com/vi/SY2xyrmV44Y/maxresdefault.jpg,,false
1667706472,A Rock Is Trapped Light,,"Is a rock trapped light? 🌏 Get exclusive NordVPN deal here ➵ https://NordVPN.com/aotp It's risk free with Nord's 30 day money-back guarantee!✌ For 2,600 yea...",https://www.youtube.com/watch?v=f8O3XMrC8hg,,2026-03-31T23:30:32.063Z,https://i.ytimg.com/vi/f8O3XMrC8hg/maxresdefault.jpg,,false
1666911740,Why the World Is Boycotting ‘Made in America’ (And What Happens Next),,"In response to growing anti-American consumer sentiment, many US firms are now actively marketing their products as European and ditching their “Made in Amer...",https://www.youtube.com/watch?v=k18q_8zEWlA,,2026-03-31T05:57:37.167Z,https://i.ytimg.com/vi/k18q_8zEWlA/maxresdefault.jpg,,false
1660234240,Time Dilation Visualized,,Check out Brilliant at https://brilliant.org/TheOverviewEffekt/. You can sign up for free and with that link and get a 20% discount on the annual premium sub...,https://www.youtube.com/watch?v=8FT-oz9aZU4,,2026-03-27T09:18:59.006Z,https://i.ytimg.com/vi/8FT-oz9aZU4/maxresdefault.jpg,,false
